Filename,	Rating Nb	
PXL_20240604_095525558~3,	3
PXL_20240609_092043654~2,	4
PXL_20240609_092043654~3,	4
PXL_20240609_092045341,	4
PXL_20240609_092046009,	4
PXL_20240609_092046009~2,	4
PXL_20240610_110024108,	2
PXL_20240610_110039078,	3
PXL_20240707_102258425,	3
PXL_20240707_102300021,	1
PXL_20240707_102300592,	2
PXL_20240707_102301247.MP,	2
PXL_20240707_102301848.MP,	3
PXL_20240707_102304439,	3
PXL_20240707_102305637.MP,	2
PXL_20240707_102306182.MP,	3
PXL_20240707_102307282.MP,	3
PXL_20240707_112557375,	1
PXL_20240707_112600059.MP,	4
PXL_20240707_112602429.MP,	2
PXL_20240707_112603603,	3
PXL_20240726_072546692,	2
PXL_20240726_072551243,	2
PXL_20240726_105341281,	1
PXL_20240726_105343040,	2
PXL_20240726_105344269,	4
PXL_20240726_105345667,	3
PXL_20240726_105346510,	2
PXL_20240726_105347534.MP,	2
PXL_20240726_105348773,	4
PXL_20240802_155523476,	3
PXL_20240808_125014762,	2
PXL_20240808_125018490,	1
PXL_20240808_125019737,	1
PXL_20240808_125027740,	1
PXL_20240808_125035487,	3
