Filename,Rating Nb
P1120003,	1
P1120003_01,	1
P1120004,	1
P1120004_01,	1
P1120005,	1
P1120005_01,	1
P1120017,	2
P1120018,	2
P1120019,	2
P1120023,	2
P1120024_02,	3
P1120026,	2
P1120027,	2
P1120029,	2
P1120030,	2
P1120031,	1
P1120032,	2
P1120034,	3
P1120035,	3
P1120036,	3
P1120037,	2
P1120038,	2
P1120039,	2
P1120041,	1
P1120042,	3
P1120043,	2
P1120044,	3
P1120045,	3
P1120047,	2
P1120048,	2
P1120049,	3
P1120050,	3
P1120051,	2
P1120052,	2
P1120053,	3
P1120054,	3
P1120055,	3
P1120056,	3
P1120057,	4
P1120058,	3
P1120064,	1
P1120066,	1
P1120067,	1
P1120072,	3
P1120076,	4
P1120079,	4
P1120082,	1
P1120084,	1
P1120089,	2
P1120090,	2
P1120091,	2
P1120092,	2
P1120093,	1
P1120094,	1
P1120095,	1
P1120096,	2
P1120097,	1
P1120098,	2
P1120099,	1
P1120101,	1
P1120103,	1
P1120104,	1
P1120105,	1
P1120106,	1
P1120108,	1
P1120109,	1
P1120110,	1
P1120111,	1
P1120112,	1
P1120113,	1
P1120114,	1
P1120115,	1
P1120116,	1
P1120117,	1
P1120118,	1
P1120119,	2
P1120120,	1
P1120121,	1
P1120122,	1
P1120123,	1
P1120124,	1
P1120125,	2
P1120126,	1
P1120127,	3
P1120128,	1
P1120129,	1
P1120130,	2
P1120131,	1
P1120132,	2
P1120133,	1
P1120134,	2
P1120135,	1
P1120136,	1
P1120137,	1
P1120138,	2
P1120139,	1
P1120140,	1
P1120141,	1
P1120142,	1
P1120143,	1
P1120144,	1
P1120145,	1
P1120146,	2
P1120147,	2
P1120148,	2
P1120149,	1
P1120150,	1
P1120151,	2
P1120152,	2
P1120153,	1
P1120154,	1
P1120155,	2
P1120156,	2
P1120157,	2
P1120158,	1
P1120159,	2
P1120160,	2
P1120161,	2
P1120162,	1
P1120163,	1
P1120164,	1
P1120165,	1
P1120166,	1
P1120167,	2
P1120168,	1
P1120169,	1
P1120170,	1
P1120171,	2
P1120172,	2
P1120173,	1
P1120174,	1
P1120175,	1
P1120177,	1
P1120178,	2
P1120179,	2
P1120180,	1
P1120181,	1
P1120182,	2
P1120183,	1
P1120184,	2
P1120185,	2
P1120186,	2
P1120187,	2
P1120188,	2
P1120189,	1
P1120190,	2
P1120191,	1
P1120192,	1
P1120193,	1
P1120194,	1
P1120195,	1
P1120196,	1
P1120197,	1
P1120198,	1
P1120199,	1
P1120200,	3
P1120201,	2
P1120202,	1
P1120203,	1
P1120204,	1
P1120205,	1
P1120206,	1
P1120207,	1
P1120208,	1
P1120210,	1
P1120211,	2
P1120212,	2
P1120213,	3
P1120214,	3
P1120215,	1
P1120217,	1
P1120218,	1
P1120219,	1
P1120223,	2
P1120224,	2
P1120225,	1
P1120226,	3
P1120227,	2
P1120228,	2
P1120229,	2
P1120230,	1
P1120231,	1
P1120232,	2
P1120233,	1
P1120234,	3
P1120235,	2
P1120236,	2
P1120237,	2
P1120238,	1
P1120239,	2
P1120240,	2
P1120241,	1
P1120242,	1
P1120243,	1
P1120245,	2
P1120247,	2
P1120249,	1
P1120253,	1
P1120254,	1
P1120255,	1
P1120256,	1
P1120257,	1
P1120258,	1
P1120260,	1
P1120261,	1
P1120263,	3
P1120264,	1
P1120265,	2
P1120266,	2
P1120267,	4
P1120268,	3
P1120269,	2
P1120271,	2
P1120272,	2
P1120273,	1
P1120275,	2
P1120276,	5
P1120277,	2
P1120278,	2
P1120279,	3
P1120280,	3
P1120281,	1
P1120285,	2
P1120286,	1
P1120287,	1
P1120288,	1
P1120290,	2
P1120291,	2
P1120292,	3
P1120293,	3
P1120294,	3
P1120296,	3
P1120297,	3
P1120298,	2
P1120299,	3
P1120300,	2
P1120302,	2
P1120303,	2
P1120304,	3
P1120305,	3
P1120306,	1
P1120307,	2
P1120308,	2
P1120309,	2
P1120310,	2
P1120311,	2
P1120312,	4
P1120314,	4
P1120315,	2
P1120316,	4
P1120317,	2
P1120318,	2
P1120319,	3
P1120320,	2
P1120321,	3
P1120322,	2
P1120323,	2
P1120324,	2
P1120325,	3
P1120326,	2
P1120327,	3
P1120329,	2
P1120330,	1
P1120331,	3
P1120332,	2
P1120333,	2
P1120334,	3
P1120335,	2
P1120336,	1
P1120337,	2
P1120338,	1
P1120339,	1
P1120340,	1
P1120341,	1
P1120342,	4
P1120343,	2
P1120344,	4
P1120345,	2
P1120346,	1
P1120347,	2
P1120348,	1
